# ATCA calibrator list retrieved on 2011-10-10
0537-158, radec atca_cal, 05:39:32.010154, -15:50:30.321260
j0539-5612, radec atca_cal, 05:39:42.39309, -56:12:49.9689
0537-286, radec atca_cal, 05:39:54.281429, -28:39:55.947450
0539-530, radec atca_cal, 05:40:25.170, -53:03:46.85
j0540-5418, radec atca_cal, 05:40:45.84863, -54:18:22.0980
0539-057, radec atca_cal, 05:41:38.083384, -05:41:49.428390
j0546-6415, radec atca_cal, 05:46:41.83852, -64:15:21.9331
j0549-5246, radec atca_cal, 05:49:43.80568, -52:46:25.9644
0548+084, radec atca_cal, 05:51:11.2291, 08:29:11.210
0550+032, radec atca_cal, 05:52:50.101478, 03:13:27.243150
0552+398, radec atca_cal, 05:55:30.805608, 39:48:49.165000
j0558-5029, radec atca_cal, 05:58:11.68483, -50:29:48.7565
j0558-7459, radec atca_cal, 05:58:46.04086, -74:59:05.2043
j0602-5724, radec atca_cal, 06:02:09.37276, -57:24:03.1871
0606-795, radec atca_cal, 06:03:06.049, -79:34:50.57
0602-424, radec atca_cal, 06:04:25.17469, -42:25:30.0938
0602+096, radec atca_cal, 06:05:10.1131, 09:39:13.593
j0606-4729, radec atca_cal, 06:06:35.73340, -47:29:54.8433
j0607-6031, radec atca_cal, 06:07:55.08633, -60:31:51.9931
0605-085, radec atca_cal, 06:07:59.699243, -08:34:49.978150
j0608-5456, radec atca_cal, 06:08:49.05938, -54:56:42.8832
0606-223, radec atca_cal, 06:08:59.686836, -22:20:20.955920
0607-157, radec atca_cal, 06:09:40.949538, -15:42:40.672640
j0610-6058, radec atca_cal, 06:10:30.29578, -60:58:37.7615
0610-436, radec atca_cal, 06:12:28.60528, -43:37:48.4012
0614-349, radec atca_cal, 06:16:35.981466, -34:56:16.56406
0615-365, radec atca_cal, 06:17:32.32400189, -36:34:14.8038750
j0620-6107, radec atca_cal, 06:20:05.18933, -61:07:31.8887
j0621-4651, radec atca_cal, 06:21:19.43480, -46:49:58.4396
j0621-5241, radec atca_cal, 06:21:43.30335, -52:41:33.2961
j0623-6436, radec atca_cal, 06:23:07.69656, -64:36:20.7232
j0625-6020, radec atca_cal, 06:25:24.28873, -60:20:29.5063
j0625-5438, radec atca_cal, 06:25:52.23060, -54:38:50.7033
0624-058, radec atca_cal, 06:27:10.0960, -05:53:04.768
0627-199, radec atca_cal, 06:29:23.761851, -19:59:19.723450
0629-418, radec atca_cal, 06:31:11.998, -41:54:26.95
0637-752, radec atca_cal, 06:35:46.507954, -75:16:16.81497
0637-337, radec atca_cal, 06:39:20.905, -33:46:00.11
0639-032, radec atca_cal, 06:41:51.1335, -03:20:48.500
j0642-6150, radec atca_cal, 06:42:46.99932, -61:50:08.6742
0640+090, radec atca_cal, 06:43:26.4517, 08:57:37.999
0642-349, radec atca_cal, 06:44:25.2817, -34:59:42.140
j0644-6712, radec atca_cal, 06:44:28.04365, -67:12:57.3593
0646-306, radec atca_cal, 06:48:14.097, -30:44:19.66
0647-475, radec atca_cal, 06:48:48.453, -47:34:27.19
j0649-5920, radec atca_cal, 06:49:29.48666, -59:20:34.0571
0648-165, radec atca_cal, 06:50:24.581852, -16:37:39.725000
j0652-5751, radec atca_cal, 06:52:43.59667, -57:51:19.6892
0650-063, radec atca_cal, 06:53:00.5987, -06:25:32.520
0653-033, radec atca_cal, 06:56:11.1223, -03:23:06.638
j0658-5840, radec atca_cal, 06:58:13.77864, -58:40:27.5679
0656+082, radec atca_cal, 06:59:17.996026, 08:13:30.953190
j0700-6610, radec atca_cal, 07:00:31.25304, -66:10:45.2329
0700-101, radec atca_cal, 07:02:35.7542, -10:15:06.360
0700-007, radec atca_cal, 07:03:19.1067, -00:51:04.949
j0705-6500, radec atca_cal, 07:05:26.05246, -65:00:43.4848
0704-231, radec atca_cal, 07:06:33.4782, -23:11:37.530
0706-113, radec atca_cal, 07:09:10.4064, -11:27:48.444
0707-036, radec atca_cal, 07:10:20.1341, -03:43:27.795
j0715-6829, radec atca_cal, 07:15:09.49836, -68:29:58.2337
j0715-6627, radec atca_cal, 07:15:12.98524, -66:27:52.0071
j0716-6240, radec atca_cal, 07:16:33.68933, -62:40:26.7577
j0719-6218, radec atca_cal, 07:19:04.47431, -62:18:02.4471
j0719-5228, radec atca_cal, 07:19:14.29192, -52:28:32.5055
0718+042, radec atca_cal, 07:21:23.909988, 04:06:44.213910
j0723-8247, radec atca_cal, 07:23:39.40586, -82:47:41.0908
0721-071, radec atca_cal, 07:24:17.2992, -07:15:20.259
0722+145, radec atca_cal, 07:25:16.807752, 14:25:13.746840
0723-189, radec atca_cal, 07:25:50.1659, -19:04:19.094
0723-008, radec atca_cal, 07:25:50.639953, -00:54:56.544380
0724-47, radec atca_cal, 07:26:26.24006, -47:28:53.3633
0727-365, radec atca_cal, 07:29:5.41714352, -36:39:45.2502607
0727-115, radec atca_cal, 07:30:19.112472, -11:41:12.600480
0728-235, radec atca_cal, 07:31:06.6670, -23:41:47.827
0729-222, radec atca_cal, 07:31:31.5143, -22:24:21.088
0729+019, radec atca_cal, 07:32:22.7885, 01:50:35.380
0731-465, radec atca_cal, 07:32:44.30848, -46:40:17.2085
0731+050, radec atca_cal, 07:33:57.4605, 04:56:14.505
j0734-7711, radec atca_cal, 07:34:43.41919, -77:11:13.4880
0733-174, radec atca_cal, 07:35:45.812488, -17:35:48.502230
0735+178, radec atca_cal, 07:38:07.393747, 17:42:18.998270
0736-332, radec atca_cal, 07:38:16.949004, -33:22:12.77880
0736-303, radec atca_cal, 07:38:19.7921, -30:25:04.886
0736-063, radec atca_cal, 07:38:57.175504, -06:26:58.056540
0736+017, radec atca_cal, 07:39:18.033894, 01:37:04.618030
0738-246, radec atca_cal, 07:40:14.7190, -24:44:36.713
j0741-4709, radec atca_cal, 07:41:45.24545, -47:09:25.9977
0742-56, radec atca_cal, 07:43:20.48419, -56:19:32.9633
0741-063, radec atca_cal, 07:44:21.6605, -06:29:35.888
0742+103, radec atca_cal, 07:45:33.059511, 10:11:12.692470
0743-006, radec atca_cal, 07:45:54.082313, -00:44:17.539800
0744-158, radec atca_cal, 07:46:18.2355, -15:55:34.472
j0746-5618, radec atca_cal, 07:46:58.22478, -56:18:32.5318
0745-330, radec atca_cal, 07:47:19.68323, -33:10:46.9720
0745-165, radec atca_cal, 07:48:03.0880, -16:39:50.160
j0748-5258, radec atca_cal, 07:48:12.67198, -52:58:31.7640
0748-440, radec atca_cal, 07:49:42.2556, -44:12:29.519
0748+126, radec atca_cal, 07:50:52.045731, 12:31:04.828160
0748+019, radec atca_cal, 07:51:02.2822, 01:52:15.758
0754+100, radec atca_cal, 07:57:06.642936, 09:56:34.852100
0757-737, radec atca_cal, 07:57:14.066, -73:53:09.45
0759-283, radec atca_cal, 08:01:46.4948, -28:31:06.886
0801+044, radec atca_cal, 08:03:56.4444, 04:21:02.724
0802-276, radec atca_cal, 08:04:51.451191, -27:49:11.320180
0804-267, radec atca_cal, 08:06:12.722573, -26:52:33.307830
j0806-6101, radec atca_cal, 08:06:49.30252, -61:01:29.9652
0805-077, radec atca_cal, 08:08:15.536036, -07:51:09.886340
0805+053, radec atca_cal, 08:08:38.8478, 05:14:39.941
0808+019, radec atca_cal, 08:11:26.707322, 01:46:52.220020
j0812-7420, radec atca_cal, 08:12:30.97324, -74:20:13.4302
0812-354, radec atca_cal, 08:14:14.64, -35:38:25.70
0812-029, radec atca_cal, 08:15:27.8340, -03:08:26.847
j0817-4809, radec atca_cal, 08:17:11.24621, -48:09:20.0238
0816+054, radec atca_cal, 08:18:56.2370, 05:17:37.274
0818-128, radec atca_cal, 08:20:57.447616, -12:58:59.169490
j0820-5705, radec atca_cal, 08:20:58.76330, -57:05:33.4013
j0823-4501, radec atca_cal, 08:23:26.85410, -45:01:45.7826
0823-500, radec atca_cal, 08:25:26.869, -50:10:38.49
