1Jy 0723+67 | *3C179.0, radec J2000, 7:28:10.31, 67:48:46.6, (178 31400 2.02 -0.52)
1Jy 0734+80 | *3C184.1, radec J2000, 7:43:00.74, 80:26:29.6, (38 10700 3.66 -0.96 0 0 -2.77 -1)
1Jy 0735+17, radec J2000, 7:38:07.39, 17:42:19.0, (318 90000 0.5191 -0.06539)
1Jy 0736+01, radec J2000, 7:39:18.03, 1:37:04.5, (318 90000 1.122 -0.2287)
1Jy 0738+31, radec J2000, 7:41:10.70, 31:12:00.2, (318 90000 0.2855 -0.002683)
1Jy 0742+10, radec J2000, 7:45:33.06, 10:11:12.6, (365 87200 5.62 -1.15 0 0 -33.28 -1)
1Jy 0743-006, radec J2000, 7:45:54.07, -0:44:17.1, (408 10695 -1.246 0.3731)
1Jy 0743-67, radec J2000, 7:43:32.40, -67:26:23.0, (800.0 8870 1.993 -0.4625)
1Jy 0745+24, radec J2000, 7:48:36.08, 24:00:23.8, (365 90000 0.09769 -0.04481)
1Jy 0748+126, radec J2000, 7:50:52.07, 12:31:03.8, (408 89600 0.13 0.04)
1Jy 0755+37 | *3C189, radec J2000, 7:58:28.76, 37:47:11.9, (178 31400 2.18 -0.56)
1Jy 0802+24 | *3C192, radec J2000, 8:05:34.79, 24:09:55.8, (26 10695 2.66 -0.64 0 0 1.47 -1)
1Jy 0804+49, radec J2000, 8:08:39.66, 49:50:36.7, (800.0 90000 -0.4018 0.137)
1Jy 0805-07, radec J2000, 8:08:15.53, -7:51:10.0, (408 10695 1.27 -0.34)
1Jy 0806-10 | *3C195.0, radec J2000, 8:08:53.24, -10:27:59.7, (12 5009 3.22 -0.82)
1Jy 0809+48 | *3C196.0, radec J2000, 8:13:36.07, 48:13:02.2, (26 22000 4.73 -1.09 0 0 -3.59 -1)
1Jy 0812+36, radec J2000, 8:15:25.90, 36:35:16.1, (408 90000 0.28 -0.08)
1Jy 0814+42, radec J2000, 8:18:16.00, 42:22:45.3, (408 90000 0.04685 0.06045)
1Jy 0820+22, radec J2000, 8:23:24.80, 22:23:03.0, (318 90000 1.43 -0.33)
1Jy 0823+033, radec J2000, 8:25:50.35, 3:09:24.7, (318 31400 -0.433 0.136)
1Jy 0825-20, radec J2000, 8:27:17.37, -20:26:24.3, (80 10695 4.54 -1.17 0 0 -6.04 -1)
1Jy 0828+49, radec J2000, 8:32:23.19, 49:13:21.3, (408 90000 -0.05486 0.03711)
1Jy 0831+55, radec J2000, 8:34:54.91, 55:34:21.1, (26 31400 2.051 -0.365)
1Jy 0833+58, radec J2000, 8:37:22.45, 58:25:02.2, (408 90000 -1.116 0.29)
1Jy 0834-19, radec J2000, 8:37:10.97, -19:51:53.2, (408 10695 5.18 -1.29 0 0 -10.17 -1)
1Jy 0834-20, radec J2000, 8:36:39.21, -20:16:59.3, (408 22000 0.9495 -0.1248)
1Jy 0836+71, radec J2000, 8:41:24.36, 70:53:41.9, (408 31400 1.552 -0.313)
1Jy 0838+13 | *3C207, radec J2000, 8:40:47.70, 13:12:23.9, (26 31400 1.83 -0.48 0 0 2.96 -1)
1Jy 0839+18, radec J2000, 8:42:05.08, 18:35:40.8, (408 31400 2.14 -0.47 0 0 -13.49 -1)
1Jy 0842-75, radec J2000, 8:41:26.61, -75:40:26.8, (408 8870 2.67 -0.68)
1Jy 0850+58, radec J2000, 8:54:42.25, 57:57:29.3, (408 31400 0.4718 -0.1079)
1Jy 0851+20, radec J2000, 8:54:48.87, 20:06:30.5, (318 90000 -1.127 0.4369)
1Jy 0858-279, radec J2000, 9:00:39.43, -28:08:20.5, (800.0 10695 2.479 -0.6325)
1Jy 0859+47, radec J2000, 9:03:03.94, 46:51:05.3, (408 31400 0.88 -0.17)
1Jy 0859-14, radec J2000, 9:02:16.83, -14:15:30.9, (365 10695 0.32 0.21 0 0 -0.02 1)
1Jy 0859-25, radec J2000, 9:01:47.34, -25:55:17.4, (80 10695 3.55 -0.89)
1Jy 0906+43 | *3C216.0, radec J2000, 9:09:33.49, 42:53:46.8, (26 90000 2.567 -0.6259)
1Jy 0906+01, radec J2000, 9:09:10.09, 1:21:35.5, (318 90000 0.1315 -0.03188)
1Jy 0915-11 | *3C218.0, radec J2000, 9:18:06.37, -12:05:28.1, (12 31400 4.618 -0.9445)
1Jy 0917+62, radec J2000, 9:21:36.23, 62:15:52.1, (408 90000 -0.07506 0.03565)
1Jy 0917+45 | *3C219.0, radec J2000, 9:21:08.62, 45:38:57.4, (26 10695 4.21 -1.02 0 0 -2.07 -1)
1Jy 0919-260, radec J2000, 9:21:29.36, -26:18:43.2, (408 31400 -0.2912 0.1408)
1Jy 0923+39, radec J2000, 9:27:03.01, 39:02:20.8, (26 90000 -1.061 0.5127)
1Jy 0936+36 | *3C223.0, radec J2000, 9:39:50.01, 35:56:10.9, (26 10695 2.95 -0.77)
1Jy 0939+14 | *3C225, radec J2000, 9:42:12.00, 13:48:52.0, (20 10695 4.39 -1.14 0 0 -3.65 -1)
1Jy 0941-08, radec J2000, 9:43:36.83, -8:19:31.1, (365 10695 5.33 -1.32 0 0 -16.94 -1)
1Jy 0945+66, radec J2000, 9:49:11.02, 66:14:56.5, (408 31400 1.79 -0.46)
1Jy 0945+40, radec J2000, 9:48:55.34, 40:39:44.6, (26 31400 -0.2 0.04 0 0 7.93 -1)
1Jy 0945+07 | *3C227.0, radec J2000, 9:47:47.11, 7:25:22.2, (12 31400 3.36 -0.79)
1Jy 0947+14 | *3C228, radec J2000, 9:50:10.67, 14:19:59.4, (17 31400 3.14 -0.83)
1Jy 0951+69 | *3C231.0, radec J2000, 9:55:51.66, 69:40:45.7, (178 14900 2.872 -0.6243)
1Jy 0953+25, radec J2000, 9:56:49.87, 25:15:15.8, (318 90000 -1.255 0.3861)
1Jy 0954+65, radec J2000, 9:58:47.26, 65:33:54.7, (408 31400 -0.1844 0.04076)
1Jy 0954+55, radec J2000, 9:57:38.17, 55:22:57.9, (178 31400 1.599 -0.344)
1Jy 0958+29 | *3C234, radec J2000, 10:01:49.24, 28:47:07.8, (26 31400 3.68 -0.93)
1Jy 1003+35 | *3C236.0, radec J2000, 10:06:01.73, 34:54:10.4, (26 31400 2.32 -0.59 0 0 1.61 -1)
1Jy 1005+07 | *3C237.0, radec J2000, 10:08:00.01, 7:30:16.5, (16 31400 4.88 -1.19 0 0 -7.22 -1)
1Jy 1015-31, radec J2000, 10:18:09.35, -31:44:15.1, (160 31400 2.96 -0.76)
1Jy 1017-42, radec J2000, 10:20:03.64, -42:51:28.6, (80 5009 3.23 -0.84)
1Jy 1030+58 | *3C244.1, radec J2000, 10:33:33.70, 58:14:42.8, (26 31400 4.09 -1.08 0 0 -2.48 -1)
1Jy 1030+41, radec J2000, 10:33:03.69, 41:16:06.5, (408 90000 0.003033 -0.01592)
1Jy 1031+56, radec J2000, 10:35:07.05, 56:28:46.6, (408 15000 1.15 -0.28)
1Jy 1032-199, radec J2000, 10:35:02.12, -20:11:31.6, (365 10695 0.54 -0.14)
1Jy 1034-293, radec J2000, 10:37:16.11, -29:34:03.9, (800.0 89600 -0.45 0.17)
1Jy 1039+81, radec J2000, 10:44:23.12, 80:54:39.3, (800.0 31400 0.2389 -0.07563)
1Jy 1039+02, radec J2000, 10:41:39.06, 2:42:32.4, (16 10700 2.71 -0.74)
1Jy 1040+12 | *3C245.0, radec J2000, 10:42:44.60, 12:03:31.3, (15 31400 2.13 -0.54 0 0 2.19 -1)
1Jy 1045-18, radec J2000, 10:48:06.72, -19:09:36.8, (408 89600 -2.97 0.59 0 0 28.09 -1)
1Jy 1046-409, radec J2000, 10:48:40.42, -41:13:46.8, (800.0 31400 1.553 -0.4117)
1Jy 1049+21, radec J2000, 10:51:48.79, 21:19:51.1, (318 90000 0.7338 -0.1963)
1Jy 1055+20, radec J2000, 10:58:17.48, 19:52:11.1, (26 31400 1.824 -0.4571)
1Jy 1055+01, radec J2000, 10:58:29.60, 1:33:58.9, (318 90000 0.8876 -0.1077)
1Jy 1057-79, radec J2000, 10:58:43.92, -80:03:45.4, (800.0 8870 -1.19 0.36)
1Jy 1104-445, radec J2000, 11:07:08.69, -44:49:07.5, (800.0 8870 -0.2908 0.1644)
1Jy 1116+12, radec J2000, 11:18:57.30, 12:34:41.6, (365 31400 2.44 -0.59 0 0 -4.39 -1)
1Jy 1116-46, radec J2000, 11:18:26.82, -46:34:14.5, (635 8870 -3.19 0.7 0 0 32 -1)
1Jy 1117+14, radec J2000, 11:20:27.71, 14:20:56.2, (318 10695 4.05 -1.02 0 0 -11.32 -1)
1Jy 1127-14, radec J2000, 11:30:07.06, -14:49:27.9, (365 90000 1.269 -0.151)
1Jy 1136-13, radec J2000, 11:39:10.64, -13:50:44.8, (12 31400 2.887 -0.6974)
